a              .6 -w
cdefg@k       .si -w .di -w .i -w .Ef -w .Gi -w
ceiling        .silIN -w
ceilings       .silINs -w
celebrate      .sEl6bret -w
celebrated      .sEl6bret6d -w
celebrates       .sEl6brets -w
celebrating       .sEl6bretIN -w
celebration       .sEl6breS~ -w
celery           .sElRi -w
cell        .sEl -w
cells      .sElz -w
cement     .sImEnt -w
cent        .sEnt -w
center          .sEntR -w
centered       .sEntRd -w
centering       .sEntRIN -w
centers           .sEntRz -w
centipede       .sEntIpid -w
cents          .sEnts -w
century       .sEnc3i -w
cereal         .s(iL -w
cereal's        .s(iLz -w 
cereals          .s(iLz -w
certain        .s3t~ -w
certainly     .s3t~li -w
certificate     .s3tIf6c6t -w
chafing        .cefIN -w
chain          .cen -w
chains        .cenz -w
chair          .c* -w
chairs         .c*z -w
chalk         .cak -w
chalkboard     .cakb%d -w
challenge        .c&lEnG -w
challenging     .c&lEnGIN -w
chance         .c&nts -w
chances        .c&nts6z -w
change         .cenG -w
changed        .cenGd -w
changes        .cenG6z -w
changing       .cenGIN -w
channel          .c&nL -w
channels         .c&nLz -w
chap          .c&p -w
character      .k*IktR -w
characteristic .k*Ikt6rIstIk -w
characters     .k*IktRz -w
charge            .c#G -w
charged          .c#Gd -w
charges           .c#G6z -w
charging          .c#GIN -w
charlie       .c#li -w
charm      .c#m -w
charming   .c#mIN -w
chart       .c#t -w
chase           .ces -w
chased        .cest -w
chases        .ces6z -w
chasing      .cesIN -w
chat       .c&t -w
check           .cEk -w
checkbook        .cEkbUk -w
checkbook's       .cEkbUks -w
checkbooks       .cEkbUks -w
checking     .cEkIN -w
checkout           .cEkQt -w
checks     .cEks -w
chee      .ci -w
cheek          .cik -w
cheekie    .ciki -w
cheekies    .cikiz -w
cheeks         .ciks -w
cheep      .cip -w
cheer      .c( -w
cheerful   .c(fL -w
cheerio     .c(io -w
cheerio's    .c(ioz -w
cheerios       .c(ioz -w
cheers     .c(z -w
cheery     .c(i -w
cheese         .ciz -w
cheeseburger    .cizb3gR -w
cheeto     .cito -w
chef     .SEf -w
cherries     .cEriz -w
cherrio     .cErio -w
chest      .cEst -w
chester    .cEstR -w
chew           .cu -w
chewed     .cud -w
chewing      .cuwIN -w
chews     .cuz -w
chewy          .cuwi -w
chi    .ci -w
chichi           .cici -w
chichi's          .ciciz -w
chick          .cIk -w
chick's     .cIks -w
chickadee      .cIk6di -w
chicken        .cIk~ -w
chickennoodle   .cIk~ -w .nudL -w
chickens       .cIk~z -w
chickie      .cIki -w
chickie's     .cIkiz -w
chickies       .cIkiz -w
chicks         .cIks -w
chico          .ciko -w
chihuahua     .ciwawa -w
child          .c9ld -w
children       .cIldr~ -w
chili        .cIli -w
chill      .cIl -w
chillier     .cIliR -w
chilling    .cIlIN -w
chillon     .cIl~ -w
chilly          .cIli -w
chime     .c9m -w
chimes    .c9mz -w
chimney    .cImni -w
chimp     .cImp -w
chimpanzee      .cImp&nzi -w
chin           .cIn -w
china      .c9n6 -w
chinese     .c9niz -w
chinie        .cIni -w
chinnie       .cIni -w
chip           .cIp -w
chipmunks   .cIpmANks -w
chips          .cIps -w
chirp      .c3p -w
chirping     .c3pIN -w
chitlins      .cItL~z -w
chocolate      .cOklIt -w
choice           .c7s -w
choices         .c7s6z -w
choke           .cok -w
choking       .cokIN -w
cholesterol      .k6lEstRal -w
chomp          .cOmp -w
choo      .cu -w
choo@o     .cu -w
chooc@o      .cuk -w
choochoo       .cu -w .cu -w
choochoo@o    .cu -w .cu -w
choose        .cuz -w
chop         .cap -w
chopped     .capt -w
chore     .c% -w
chores         .c%z -w
chose          .coz -w
chris       .krIs -w
christ       .kr9st -w
christened      .krIs~d -w
christening     .krIs~IN -w
christmas      .krIsm6s -w
christopher    .krIst6fR -w
chubby         .cAbi -w
chuckie        .cAki -w
chugga@o      .cAg6 -w
chunky      .cANki -w
church           .cRc -w
churches       .cRc6z -w
chute         .Sut -w
cigarette      .sIg6rEt -w
cinderella       .sInd6rEl6 -w
cinderella's     .sind6rEl6z -w
cindy          .sIndi -w
cindy's        .sIndiz -w
cinnamon     .sIn6m~ -w
circle          .s3kL -w
circled       .s3kLd -w
circles        .s3kLz -w
circular      .s3kyulR -w
circulation    .s3kyuleS~ -w
circumstances  .s3kMst&nsIz -w
circus           .s3k6s -w
citrus        .sItr6s -w
city            .sIti -w
civilization   .sIv6l6zeS~ -w
civilized      .sIv6l9zd -w
clamp       .kl&mp -w
clap             .kl&p -w
clappie        .kl&pi -w
clapping       .kl&pIN -w
class          .kl&s -w
clattering     .kl&tRIN -w
claus          .klOz -w
clay           .kle -w
clean          .klin -w
cleaned        .klind -w
cleaner        .klinR -w
cleaner's       .klinRz -w
cleanest     .klinEst -w
cleaning       .klinIN -w
cleans         .klinz -w
cleanup        .klinAp -w
clear          .kl( -w
clearance      .kl(6nz -w
cleared      .kl(d -w
clearer       .kl(R -w
clearly        .kl(li -w
clever       .klEvR -w
click        .klIk -w
clicker      .klIkR -w
clicking       .klIkIN -w
clifford        .klIf3d -w
clifford's     .klIf3dz -w
climb          .kl9m -w
climbed        .kl9md -w
climber        .kl9mR -w
climbing       .kl9mIN -w
climbs         .kl9mz -w
clings         .klIN -w
clinic           .klInIk -w
clinics          .klInIks -w
clink         .klINk -w
clinking     .klINkIN -w
clip            .klIp -w
clipped      .klIpt -w
clippers      .klIpRz -w
clipping      .klIpIN -w
clips         .klIps -w
cloaks        .kloks -w
clobber        .klabR -w
clock          .klak -w
clop            .klap -w
close          .kloz -w
closed         .klozd -w
closely        .klosli -w
closer          .klosR -w
closes       .kloz6z -w
closet          .klOzIt -w
closing      .klozIN -w
cloth          .klOT -w
clothes        .kloz -w
clothing       .kloDIN -w
cloud       .klQd -w
clouding    .klQdIN -w
clouds         .klQdz -w
cloudy        .klQdi -w
clover        .klovR -w
clown          .klQn -w
clowns         .klQnz -w
club            .klAb -w
cluck         .klAk -w
clue         .klu -w
clues       .kluz -w
clumps      .klAmps -w
clumpy       .klAmpi -w
clumsily     .klAmsIli -w
clunk         .klANk -w
clunky       .klANki -w
clutter        .klAtR -w
cluttering     .klAtRIN -w
coaster      .kostR -w
coasters      .kostRz -w
coat           .kot -w
coats          .kots -w
cob            .kab -w
cobweb     .kabwEb -w
cobwebs    .kabwEbz -w
coca           .kok6 -w
cock          .kak -w
cockadoodledoo    .kak6dudLdu -w
cockle     .kakL -w
cocoa      .koko -w
cocoon      .k6kun -w
code           .kod -w
coffee         .kOfi -w
coins         .k7nz -w
coke          .kok -w
cola         .kol6 -w
colada      .kolad6 -w
cold           .kold -w
cold's          .koldz -w
colder      .koldR -w
coleman      .kolm~ -w
collapse     .k6l&ps -w
collar       .kalR -w
collect     .k6lEkt -w
collection    .k6lEkS~ -w
college       .kal6G -w
color          .kAlR -w
color's        .kAlRz -w
colored        .kAlRd -w
colorful      .kAlRfL -w
coloring       .kAlRIN -w
colors         .kAlRz -w
colts        .kolts -w
column       .kalAm -w
columns      .kalAmz -w
comb           .kom -w
combed         .komd -w
combie       .kombi -w
combination   .kambIneS~ -w
combine       .kMb9n -w
combing        .komIN -w
combs          .komz -w
come           .kAm -w
comedy         .kam6di -w
comes          .kAmz -w
comfort        .kAmf3t -w
comfortable    .kAmftRbL -w
comfortably      .kAmftRbli -w
comforter     .kAmf3tR -w
comforting     .kAmf3tIN -w
comfy        .kAmfi -w
coming         .kAmIN -w
commanded   .k6m&nd6d -w
commander     .k6m&ndR -w
comment       .kamEnt -w
commercial      .k6mRSL -w
commercials     .k6mRSLz -w
common         .kam~ -w
communicate     .k6myunIket -w
communication    .k6myunIkeS~ -w
company        .kMp6ni -w
compared       .kMp*d -w
complain      .kMplen -w
complaining    .kMplenIN -w
complains     .kMplenz -w
complete         .kMplit -w
completed      .kMplit6d -w
completely     .kMplitli -w
complicated    .kamplIket6d -w
complication    .kamplIkeS~ -w
computer       .kMpyutR -w
concentrate     .kans~tret -w
concentrating  .kans~tretIN -w
concentric      .k~sEntrIk -w
concept        .kansEpt -w
concerned     .k~s3nd -w
concerns       .k~s3nz -w
concert          .kansRt -w
concerts         .kansRts -w
condensation   .kandEnseS~ -w
conditioner     .k~dIS~R -w
conditioning    .k~dIS~IN -w
condo      .kando -w
condos      .kandoz -w
cone             .kon -w
confident     .kanfIdEnt -w
confuse        .k~fyuz -w
confused       .k~fyuzd -w
confusing      .k~fyuzIN -w
congestion     .k~GEsc~ -w
congratulate    .k~gr&culet -w
connect        .k6nEkt -w
connecting     .k6nEktIN -w
connection     .k6nEkS~ -w
connections    .k6nEkS~z -w
connie     .kani -w
connotes       .k6nots -w
conscious      .kanS6s -w
consider        .k~sIdR -w
considerate    .k~sIdR6t -w
considered     .k~sIdRd -w
considering    .k~sIdRIN -w
considers      .k~sIdRz -w
consistent     .k~sIst~t -w
consistently   .k~sIst~tli -w
conspiracy     .k~sp36si -w
constant     .kanst~t -w
constantly     .kanst~tli -w
constellation  .kanst6leS~ -w
construct      .k~strAkt -w
contact        .kant&kt -w
contain          .k~ten -w
containable    .k~ten6bL -w
contained        .k~tend -w
container       .k~tenR -w
containers     .k~tenRz -w
containing        .k~tenIN -w
contains          .k~tenz -w
content        .kantEnt -w
contents      .kantEnts -w
context        .kantEkst -w
continually    .k~tInyu6li -w
continue       .k~tInyu -w
continued     .k~tInyud -w
contrary       .kantr*i -w
control        .k~trol -w
controlled     .k~trold -w
controller      .k~trolR -w
controls        .k~trolz -w
convenience    .k~vinyEnts -w
conversation   .kanvRseS~ -w
conversations  .kanvRseS~z -w
cook           .kUk -w
cooked        .kUkt -w
cookie         .kUki -w
cookies        .kUkiz -w
cooking        .kUkIN -w
cooks          .kUks -w
cool      .kul -w
cooled    .kuld -w
cooler     .kulR -w
cooling    .kulIN -w
coop     .kup -w
cooperate   .koapRet -w
cooperating   .koapRetIN -w
cooperative    .koapR6tIv -w
coordinate      .ko#dInet -w
coordination    .ko#dIneS~ -w
copied    .kapid -w
coppertone    .kapRton -w
cops           .kaps -w
copyright    .kapir9t -w
coral       .k#L -w
cord           .k%d -w
cords     .k%dz -w
corduroy       .k%d6r7 -w
corduroy's     .k%d6r7z -w
cork          .k%k -w
corked      .k%kt -w
corn              .k%n -w
corner         .k%nR -w
cornfield      .k%nfild -w
cornish         .k%nIS -w
corny      .k%ni -w
corral      .k6r&l -w
correct        .k6rEkt -w
correctly      .k6rEktli -w
correspondence .k%6spand~s -w
cosby      .kOzbi -w
cost        .kast -w
costs       .kasts -w
cotton         .kat~ -w
cottontail     .kat~tel -w
couch          .kQc -w
couches        .kQcIz -w
cough          .kOf -w
coughing      .kOfIN -w
could          .k6d -w
couldn't       .k6d~t -w
counselor     .kQns6lR -w
count          .kQnt -w
counted        .kQntId -w
counter      .kQntR -w
countertop      .kQntRtap -w
counting       .kQntIN -w
countries        .kAntriz -w
country          .kAntri -w
counts         .kQnts -w
county       .kQnti -w
couple         .kApL -w
coupon     .kupan -w
coupons    .kupanz -w
course         .k%s -w
courting        .k#tIN -w
cousin         .kAz~ -w
cousins        .kAz~z -w
cover          .kAvR -w
covered        .kAvRd -w
covering      .kAvRIN -w
covers      .kAvRz -w
cow            .kQ -w
cow's          .kQz -w
cowabunga      .kQ6bAng6 -w
cowboy     .kQb7 -w
cowpokie    .kQpoki -w
cows           .kQz -w
cozy       .kozi -w
crab         .kr&b -w
crabbie      .kr&bi -w
crabbing    .kr&bIN -w
crabby       .kr&bi -w
crack          .kr&k -w
cracked        .kr&kt -w
cracker         .kr&kR -w
crackers       .kr&kRz -w
crackery     .kr&kRi -w
cracky       .kr&ki -w
cradle          .kredL -w
cradles          .kredLz -w
cramped      .kr&mpt -w
cranberries    .kr&nb*iz -w
cranberry       .kr&nb*i -w
crane          .kren -w
cranium      .kreniM -w
crank       .kr&Nk -w
crankiness      .kr&NkinEs -w
cranky         .kr&Nki -w
crap            .kr&p -w
crash          .kr&S -w
crashed       .kr&St -w
crashes        .kr&S6z -w
crashing        .kr&SIN -w
crawl          .krOl -w
crawled         .krOld -w
crawler         .krOlR -w
crawling         .krOlIN -w
crawls           .krOlz -w
crayon         .krean -w
crayons        .kreanz -w
crazed          .krezd -w
crazy          .krezi -w
cream          .krim -w
creamy      .krimi -w
creates        .kriets -w
creative     .kiretIv -w
creatively     .krietIvli -w
creature       .kricR -w
creatures       .kricRz -w
credit          .krEdIt -w
credited       .krEdIt6d -w
crediting       .krEdItIN -w
credits           .krEdIts -w
creek      .krik -w
creep       .krip -w
creepy       .kripi -w
crew       .kru -w
crib           .krIb -w
cribbie       .krIbi -w
crickets       .krIk6ts -w
cried      .kr9d -w
crinkles     .krINkLz -w
crinkling     .krINkLIN -w
crinkly      .krINkLi -w
crispier       .krIspiR -w
crispiest       .krIspiEst -w
crispy          .krIspi -w
crisscross   .krIskras -w
critter       .krItR -w
croakity     .krok6ti -w
crock           .krak -w
crocodile      .krak6d9l -w
crocodiles      .krak6d9lz -w
crocodiles'    .krak6d9lz -w
crocuses      .kroc6s6s -w
crooked       .krUk6d -w
crooks          .krUks -w
cross            .kras -w
crossed       .krast -w
crossing      .krasIN -w
crosss         .kras -w
crow       .kro -w
crowd     .krQd -w
crowded    .krQd6d -w
crowed       .krod -w
crown       .krQn -w
crud        .krAd -w
cruise      .kruz -w
crumb      .krAm -w
crumble    .krAmbL -w
crumbs     .krAmz -w
crunch         .krAnc -w
crunchies    .krAnciz -w
crunchy        .krAnci -w
crush      .krAS -w
crust    .krAst -w
crusted         .krAst6d -w
crusty         .krAsti -w
cry     .kr9 -w
crybaby     .kr9bebi -w
crying         .kr9IN -w
crystals      .krIstLz -w
cub     .kAb -w
cubby    .kAbi -w
cube       .kyub -w
cubes          .kyubz -w
cucumber    .kyukAmbR -w
cucumbers    .kyukZmbRz -w
cuddly      .kAdLi -w
cuetip     .kyutIp -w
cup            .kAp -w
cupboard     .kAbRd -w
cupboard's   .kAbRdz -w
cupcake      .kApkek -w
cupcake's     .kApkeks -w
cupcakes     .kApkeks -w
cupfuls        .kApfUlz -w
cups           .kAps -w
cups          .kAps -w
curb           .k3b -w
curds       .k3dz -w
curious        .ky)i6s -w
curl        .k3l -w
curled     .k3ld -w
curly          .k3li -w
current        .k3~t -w
curse     .k3s -w
curtain    .k3t~ -w
curtains     .k3t~z -w
curvy       .k3vi -w
cushion     .kUS~ -w
cushioned   .kUS~d -w
cushions      .kUS~z -w 
cut            .kAt -w
cute           .kyut -w
cutest         .kyutIst -w
cutesy     .kutsi -w
cutey          .kyuti -w
cutie        .kyuti -w
cutiepie     .kyuti -w   .p9 -w
cutting       .kAtIN -w
cymbals       .sImbLz -w
czech        .cEk -w
czechoslovakia's      .cEk6sl6vaki6z -w
d              .di -w
d@l            .di -w
da             .da -w
dab      .d&b -w
dab@c     .d&b -w
dabby@c      .d&b -w
dad            .d&d -w
dad'll      .d&dL -w
dad's       .d&dz -w
dada           .d&d& -w
dada's         .d&d&z -w
dadada         .d& -w .d& -w .d& -w
dadada's     .d& -w .d& -w .d&z -w
dadada@o      .d& -w .d& -w .d& -w
dadadada@o     .d& -w .d& -w .d& -w .d& -w
daddy          .d&di -w
daddy'd      .d&did -w
daddy's        .d&diz -w
daffodil     .d&f6dIl -w
daffodils      .d&f6dIlz -w
daffy        .d&fi -w
daily           .deli -w
dainty       .denti -w
dairy    .d*i -w
daisies        .deziz -w
daisy          .dezi -w
dakota       .d6kota -w
dakota's     .d6kotaz -w
dale           .del -w
dalmatian     .d&lmeS~ -w
dalmatians     .d&lmeS~z -w
damage       .d&m6G -w
damaged     .d&m6Gd -w
damages     .d&m6G6z -w
damaging     .d&m6GIN -w
dame     .dem -w
damn           .d&m -w
damp       .d&mp -w
dan            .d&n -w
dan's          .d&nz -w
dance          .d&ns -w
dances      .d&ns6z -w
