agey	、。
cases	㤴ㄩ
cassy	ㄱ㄁
castle	ㄱ㡁
castles	ㄱ㡂
casts	㦇
cat	㦈
cat's	㦉
catalogs	ㄱゆ㦐
catalogue	ㄱゆ㦑
catastrophe	を㦒㦓ら
catch	㦔
catcher	ㄱ〙
catches	ㄱ㐇
catching	ㄱ㜇
catdoor	㦈㔆
categorical	ㄱ㆐㦕㌘㍁
categories	ㄱ㆐㦕㖉
caterpillar	ㄱ㆒㎀㡱
caterpillars	ㄱ㆒㎀ぇ
catholic	ㄱ㦖㦗
catnaping	㦈㔸㢖
cats	㦉
caught	㦘
cauliflower	㥆〠㦙䀀
'cause	㘑
cause	㘑
causing	㥆㌓
cavalry	ㄱ㌕䀁
cave	䀂
caves	䀃
caw	㥆
cdefg@k	㄁㄂〨㄃。
cecilia	〄䀄㚅
ceiling	㄁㔰
ceilings	㄁䀅
celebrate	ㅆゃ䀆
celebrated	ㅆゃ㠄㡐
celebrates	ㅆゃ䀇
celebrating	ㅆゃ㠄ㅃ
celebration	ㅆゃ㠄ㄑ
celery	ㅆゃぷ
cell	䀈
cells	䀉
cement	ㄗ䀐
cent	䀑
center	䀒㆒
centered	䀒䀓
centering	䀒㆒㍆
centers	䀒ぅ
centipede	䀒㆐䀔
cents	䀕
century	䀒〱ぷ
cereal	〄ぷ㆘
cereal's	〄ぷ䀖
cereals	〄ぷ䀖
certain	㍐づ
certainly	㍐づと
certificate	㍐㆐㤷㕵
chafing	䀗䀘
chain	䀙
chains	䀠
chair	䀡
chairs	䀢
chalk	䀣
chalkboard	䀤䀥
challenge	䀦䀧
challenging	䀦㊈㐥
chance	䀨
chances	䀩㉵
change	䀰
changed	䀱
changes	䀙㠱
changing	䀙㐥
channel	䀦㈇
channels	䀦㥲
chap	䀲
character	ㄱ䀳㆒
characteristic	㦀䀴ゆ㌘䀵
characters	ㄱ䀳ぅ
charge	䀶
charged	䀷
charges	䀸䀹
charging	䀸㐥
charlie	䀸と
charm	䁀
charming	䀸㘔
chart	䁁
chase	䁂
chased	䁃
chases	䀗ㄩ
chasing	䀗㄰
chat	䁄
cheap	䁅
check	䁆
checkbook	䁆㝙
checkbook's	䁆㝡
checkbooks	䁆㝡
checked	䁇
checking	䁈㑦
checkout	䁈䁉
checks	䁐
chee	〧
cheek	䁑
cheekie	〧㔐
cheekies	〧㚃
cheeks	䁒
cheep	䁅
cheer	䁓
cheerful	䁓㒄
cheerio	䁔㌘䁕
cheerio's	䁖ぷ䁗
cheerios	〧ぷ䁗
cheers	䁘
cheery	〧ぷ
cheese	䁙
cheeseburger	䁙㕑㘰
cheesy	〧〥
cheeto	〧䁠
chef	䁡
chemistry	㦀ㄳ䁢
cherry	䁈ぷ
cherries	䁈㖉
cherrio	䁈ぷっ
chest	䁣
chester	䁈じ
chew	ㅲ
chewed	䁤
chewing	ㅲ㍆
chews	䁥
chewy	ㅲ〨
chi	䁦
chichi	〧〧
chichi's	〧䁙
chick	䁧
chick's	䁨
chickadee	䁖を㄂
chicken	䁖や
chickennoodle	䁖㈳㑶㤁
chickens	䁖䁩
chickie	䁖㔐
chickie's	䁖㚃
chickies	䁖㚃
chicks	䁨
chico	〧〆
chihuahua	䁖䁰䁰
chikada	䁖ㄱ㈑
child	䁱
children	䁲䁳
chili	䁖と
chill	䁲
chillier	䁖と䀀
chilling	䁖㔰
chillon	䁖〵
chilly	䁖と
chime	䁴
chimes	䁵
chimney	䁶べ
chimp	䁷
chimpanzee	䁶䁸〥
chin	䁹
china	䂀ど
chinese	䂀㍃
chinie	䁖べ
chinnie	䁖べ
chip	䂁
chipmunks	䂁䂂
chips	䂃
chirp	䂄
chirping	〙㢖
chitlins	䁖ゆ䂅
chocolate	䂆を㠂
choice	䂇
choices	䂈ㄩ
choke	䂉
choking	䂐㑦
cholesterol	を䂑ゆ䂒
chomp	䂓
choo	ㅲ
choo@o	ㅲ
chooc@o	䂔
choochoo	ㅲㅲ
choochoo@o	ㅲㅲ
choose	䁥
chop	䂕
chopped	䂖
chore	䂗
chores	䂘
chose	䂙
chris	䄀
christ	䄁
christian	䄂䄃
christened	䄄䄅
christening	䄄〄㒁
christmas	䄄䄆
christopher	䄄び䄇
chubby	䄈㄀
chuckie	䄈㔐
chuck's	䄉
chugga@o	䄈㔵
chunky	䄐㔐
church	䄑
churches	〙䄒
chute	䄓
cigarette	〄㔵㕣
cinderella	䄔㈑むゃ
cinderella's	䄕㈑む㙀
cindy	䄔㄂
cindy's	䄔㌲
cinnamon	〄ど〷
circle	㍐㍁
circled	㍐㡵
circles	㍐㍂
circular	㍐㚄㡱
circulation	㍐㚄〰ㆉ
circumstances	㍐䄖䄗ㄩ
circus	㍐䄘
citrus	〄䄙
cities	〄〕
city	〄い
civil	〄䄠
civilization	〄㌕ゃ䄡ㄑ
civilized	〄㆔䄢
claire	䄣
clamp	䄤
clap	䄥
clappie	䄦㍷
clapping	䄦㢖
clara	䄦䄧
claira	䄦䄧
class	䄨
classes	䄦ㄩ
classroom	䄦䄩
clattering	䄦ゆ㉙
claus	䄰
clay	䄱
clean	䄲
cleaned	䄳
cleaner	ㄴ㕁
cleaner's	ㄴょ
cleanest	ㄴ䄴
cleaning	ㄴ㒁
cleans	䄵
cleanup	ㄴ䄶
clear	䄷
clearance	ㄴ㍸
cleared	䄸
clearer	ㄴ㥵
clearly	䄹と
clever	䅀㍄
click	䅁
clicker	䅂〈
clicking	䅂㑦
clifford	䅂䅃
clifford's	䅂䅄
climb	䅅
climbed	䅆
climber	䅇㢒
climbing	䅇㘔
climbs	䅈
clings	㡶
clinic	䅂䅉
clinics	䅂䅐
clink	䅑
clinking	㡶㑦
clinton	㡓づ
clintonville	㡓づす
clip	䅒
clipped	䅓
clippers	䅂䅔
clipping	䅂㢖
clips	䅕
cloaks	䅖
clobber	䅗㕑
clock	䅘
cloey	䅙〨
clop	䅠
close	䅡
closed	䅢
closely	䅙䅣
closer	䅙㍐
closes	䅙㈩
closet	䅗䅤
closing	䅙㌓
cloth	䅥
clothes	䅦
clothespin	䅧䅨
clothespins	䅧䅩
clothing	䅙㖁
cloud	䅰
clouding	䅱ㅡ
clouds	䅲
cloudy	䅱㄂
clover	䅙㍄
clown	䅳
clowns	䅴
club	䅵
cluck	䅶
clue	䅷
clues	䅸
clumps	䅹
clumpy	䆀㍷
clumsily	䆀䆁と
clunk	䆂
clunky	䆃㔐
clutter	䆄㆒
cluttering	䆄㆒㍆
coach	䆅
coaster	䆆㆒
coasters	〆䆇
coat	䆈
coats	䆉
cob	䆐
cobweb	ㅓ䆑
cobwebs	䆐䆒
coca	〆を
cocaine	〆㥡
cocaine's	〆䆓
cock	䆔
cockadoodledoo	ㅓを䆕㤁䆕
cockle	ㅓ㍁
coco	〆〆
cocoa	〆〆
cocoon	を䆖
code	䆗
coffee	㥆ら
coins	䆘
coke	䆙
cola	〆ゃ
colada	〆䈀㈑
cold	䈁
cold's	䈂
colder	䈃】
coleman	䈃〷
colin	ㅓ㊈
collapse	を䈄
collar	ㅓ㡱
collect	を䈅
collection	を䈆ㆉ
college	ㅓㅴ
collin	ㅓ〵
color	ㅦ㡱
colour	ㅦ㡱
colours	ㅦぇ
color's	ㅦぇ
colored	ㅦ䈇
colorful	ㅦ㡱㒄
coloring	ㅦゃ㉙
colors	ㅦぇ
colts	䈈
columbus	ㅓ䈉䈐
column	ㅓ䈑
columns	ㅓ䈒
comb	䈓
combed	䈔
combie	䈓㄀
combination	ㅕㄇ㥰ㆉ
combine	ㅕ㚁
combing	〆㘔
combs	䈕
c'mon	ㅦ䈖
come	㘒
comedy	ㅓㄳ㄂
comes	㘓
comfort	㘒䈗
comfortable	㘒䄇ゆㄉ
comfortably	㘒䄇ゆ㜆
comforter	㘒䄇㆒
comforting	㘒䄇ㅃ
comfy	㘒ら
coming	ㅦ㘔
commanded	を〲㈂
commander	を〲】
comment	ㅓ䀐
commercial	を㢒㍘
commercials	を㢒䈘
common	ㅓ〷
communicate	をㆁ㌷䈙
communication	をㆁ㌷㤴ㆉ
communications	をㆁ㌷㤴䈠
community	をㆁ㌷い
company	㘒㝴べ
compared	䄖䈡
complain	䄖㉡
complained	䄖䈢
complaining	䄖䈣㒁
complains	䄖㉣
complete	䄖䈤
completed	䄖䈥ㅄ
completely	䄖䈤と
complicated	ㅕㅘ㤴ㅄ
complication	ㅕㅘ㤴ㆉ
computer	䄖䈦㆒
computers	䈧㐓ぅ
concentrate	䈨䄔䈩
concentrating	䈨䄔䈰ㅃ
concentric	㈳䀒䈱
concept	䈨ㅀ
concerned	㈳䈲
concerns	㈳䈳
concert	䈨䈴
concerts	䈨䈵
condensation	䈨㉩䈶ㆉ
conditioner	㈳ㅹ䈷㕁
conditioning	㈳ㅹ䈷㒁
condo	䈨㈘
condos	䈨㑹
cone	䈸
confident	䈨㤷ㅇ
confuse	㈳䈹
confused	㈳䉀
confusing	㈳䉁㌓
congestion	㈳䉂䁹
congratulate	㈳䉃〱䉄
connect	を䉅
connecting	を䉆ㅃ
connection	を䉆ㄑ
connections	を䉆䈠
connie	ㅓべ
connotes	を䉇
conscious	䈨㡰
conservative	㈳㍐㌕㆓
consider	㈳〄】
considerate	㈳〄㈑ㆂ
considered	㈳〄㔑
considering	㈳〄㈑㉙
considers	㈳〄㉹
consistent	㈳〄䉈
consistently	㈳〄䉈と
conspiracy	㈳㑈㌘㄁
constant	䈨䉉
constantly	䈨䉉と
constellation	䈨び〰ㄑ
construct	㈳䉐
contact	䈨㑤
contain	㈳䉑
containable	㈳䉒どㄉ
contained	㈳䉓
container	㈳䉒㕁
containers	㈳䉒ょ
containing	㈳䉒㒁
contains	㈳䉔
content	㈳䉕
contents	㈳䉖
context	䈨䉗
continually	㈳㑱㐓㄄と
continue	㈳㆐䉘
continued	㈳㑱䉙
contrary	㈳䉠ぷ
control	㈳䉡
controlled	㈳䉢
controller	㈳䉣㡱
controls	㈳䉤
convenience	㈳䉥䉦
conversation	䈨㍄䈶ㆉ
conversations	䈨㍄䈶䈠
cook	䉧
cooked	䉨
cookie	䉩㔐
cookies	䉩㚃
cooking	䉩㑦
cooks	䉰
cool	䉱
cooled	䉲
cooler	ㆄ㡱
cooling	ㆄ㔰
coop	䉳
cooperate	〆゗㝴㑇
cooperating	〆゗㝴㐈ㅃ
cooperative	〆゗㝴㌘㆓
coordinate	〆䉴ㅹ䉵
coordination	〆䉴ㅹ㥰ㆉ
copy	ㅓ㍷
copied	ㅓ䀔
coppertone	ㅓ㘢䉶
cops	䉷
copyright	ㅓ㍷㌂
coral	㥆㕡
cord	ㅠ
cords	䉸
corduroy	ㅑ㈑䉹
corduroy's	ㅑ㈑䊀
corey	ㅓぷ
cork	䊁
corked	䊂
corn	䊃
corner	ㅑ㕁
cornfield	䊃䊄
cornish	ㅑ䊅
corny	ㅑべ
corral	を䊆
correct	を䊇
correctly	を䊇と
correspondence	㥆㈙䊈䊉
cosby	㘑㄀
cost	䊐
costs	䊑
costume	ㅓ䊒
cotton	ㅓづ
cottontail	ㅓづ䊓
couch	䊔
couches	䊕㐇
cough	䊖
coughing	㥆䀘
could	䊗
couldn't	䉩䊘
counseling	ㅤㄗ㔰
counselor	ㅤㄗ㡱
count	ㅢ
counted	ㅤㅄ
counter	ㅤ㆒
countertop	ㅤ㆒䊙
counting	ㅤㅃ
countries	䌀䌁
country	䌀䌂
counts	ㅣ
county	ㅤい
couple	ㅦ㎃
coupon	ㆄ䌃
coupons	ㆄ䌄
course	䌅
courses	ㅑㄩ
court	㦃
courting	䌆ㅃ
cousin	ㅦ䌇
cousins	ㅦ䌈
cover	ㅦ㍄
covered	ㅦ䌉
covering	ㅦ㌕㉙
covers	ㅦ㘉
cow	䊕
cow's	䌐
cowabunga	䌑䌒㢙㔵
cowboy	䊕㝃
cowpokie	䊕ゑ㔐
cows	䌐
cozy	〆〥
crab	䌓
crabbie	䌔㄀
crabbing	䌔㚂
crabby	䌔㄀
crack	䌕
cracked	䌖
cracker	䌔〈
crackers	䌔ㆆ
crackery	䌔〈〨
cracky	䌔㔐
cradle	䌗㤁
cradles	䌗㥠
cramped	䌘
cranberries	䌙ぶ㖉
cranberry	䌙ぶぷ
crane	䌠
cranium	䌗べ㐄
crank	䌡
crankiness	䌢㔐䌣
cranky	䌢㔐
crap	䌤
crash	䌥
crashed	䌦
crashes	䌔㊃
crashing	䌔ㅙ
crawl	䌧
crawled	䌨
crawler	䌩㡱
crawling	䌩㔰
crawls	䌰
crayon	䌗䌱
crayons	䌗䌲
crazed	䌳
crazy	䌗〥
cream	䌴
creamy	䌵ㄶ
creates	䌵㎔
creative	䌵、㆓
creatively	䌵、㆓と
creature	䌵〙
creatures	䌵䌶
credit	䌷䌸
credited	䌷ㅹ㡐
crediting	䌷ㅹㅃ
credits	䌷䌹
creek	䍀
creep	䍁
creepy	䌵㍷
crew	䍂
crib	䍃
cribbie	䄄㄀
crickets	䄄㜂
cried	䍄
crime	䍅
crinkles	䍆㍂
crinkling	䍆㡶
crinkly	䍆ㄴ
crispier	䄄䍇䀀
crispiest	䄄䍇ㅷ
crispy	䄄䍇
crisscross	䄄䍈
critter	䄄㆒
croakity	䍉をい
crock	䍐
crocodile	䍑を䍒
crocodiles	䍑を䍓
crocodiles'	䍑を䍓
crocuses	䍉をㄩ
crooked	䍔䍕
crooks	䍖
cross	ㆇ
crossed	䍗
crossing	䌩㄰
crosss	䍘
crow	䍉
crowd	䍙
crowded	䍠㈂
crowed	䍡
crown	䍢
crud	䍣
cruise	䍤
crumb	䍥
crumble	䍥ㄉ
crumbs	䍦
crunch	䍧
crunchies	䍨䁙
crunchy	䍨〧
crush	䍩
crust	䍰
crusted	䍱ㅄ
crusty	䍱い
cry	䍲
crybaby	䍲㒗㄀
crying	䍲㍆
crystals	䄄䍳
cub	䍴
cubby	ㅦㄇ
cube	䍵
cubes	䍶
cucumber	ㆀ㘒㕑
cucumbers	ㆀ㘒䍷
cuddly	䍸と
cuetip	ㆀ䍹
culture	䎀〙
cup	䎁
cupboard	ㅦ㚆
cupboard's	ㅦ㚇
cupcake	䎁㔀
cupcake's	䎁㔁
cupcakes	䎁㔁
cupfuls	䎁䎂
cups	䎃
cups	䎃
curb	䎄
curds	䎅
curious	䎆ぷ㑂
curl	䎇
curled	䎈
curly	〈と
current	〈㍴
curse	䎉
curtain	〈づ
curtains	〈㤩
curvy	〈䉥
cus	䎐
cushion	䉩ㆉ
cushioned	䉩䎑
cushions	䉩䎒
cut	䎓
cute	䎔
cutest	ㆀ䎕
cutesy	䎖㄁
cutey	ㆀい
cutie	ㆀい
cutiepie	ㆀい䎗
cutting	ㅦㅃ
cuz	䎐
cymbals	䎘㡲
czech	䁆
czechoslovakia's	䁈を䎙䐀㔐ゖ
d	㄂
d@l	㄂
da	〔
dab	䐁
dab@c	䐁
dabby@c	䐁
dad	䐂
dad'll	䐃㤁
dad's	䐄
dada	䐃䐃
dada's	䐃䐅
dadada	䐃䐃䐃
dadaji	ここ。
dadada's	䐃䐃䐅
dadada@o	䐃䐃䐃
dadadada@o	䐃䐃䐃䐃
daddy	䐃㄂
daddy'd	䐃䐆
daddy's	䐃㌲
daffodil	䐃㊙䐇
daffodils	䐃㊙䐈
daffy	䐃ら
daily	〒と
dainty	䐉い
dairy	〒ぷ
daisies	〒䐐
daisy	〒〥
dakota	㈑〆ゆ
dakota's	㈑〆䐑
dale	䐒
dalmatian	䐓ゐㆉ
dalmatians	䐓ゐ䎒
damage	䐃䐔
damaged	䐃䐕
damages	䐃〩䀹
damaging	䐃〩㐥
dame	䐖
damn	䐗
damp	䐘
dan	【
dana	〒ど
dan's	䐙
dance	䐠
dances	【ㄩ
dancing	【㄰
dandelion	【㈑㊓ㅒ
dandy	【㄂
dang	䐡
dangerous	䐉㙘䐢
daniel	【䐣
dapper	䐃㘢
dare	䐤
daring	〒㉙
darian	䐥䄃
dark	䐦
darling	䐧㔰
darn	䐨
dat	䐩
data	〒ゆ
date	ㅔ
dating	〒ㅃ
daughter	䐰㆒
daughter's	䐰ぅ
daughters	䐰ぅ
david	〒䐱
davis	〒䐲
dawn	䐳
dawn's	䐴
day	〒
day's	䐵
daycare	〒䐶
daydreaming	〒㌨㘔
days	䐵
daytime	〒㍥
daze	䐵
dazey	〒〥
dead	䐷
deal	䐸
dealing	㄂㔰
dear	䐹
death	䑀
deborah	ㄲ㒉㈙
debra	ㄲ䑁
december	ㅹ㑑㕑
decent	㄂䑂
decibels	ㄲㄗ㡲
decide	ㅹ㙤
decided	ㅹ䑃㈂
decision	ㅹ䑄け
decisions	ㅹ䑄䑅
deck	䑆
declare	ㅹ䑇
declared	ㅹ䑈
declares	ㅹ䑉
declaring	ㅹ䅀㉙
decoration	ㄲを㐈ㆉ
decorations	ㄲを㐈䎒
deep	䑐
deepest	㄂䑑
deer	䐹
defender	ㅹ䑒】
definitely	ㄲ㤷㝔と
definition	ㄲ㤷㌷ㆉ
defrost	ㅹ䑓
degree	㈑㉅
degrees	ㅹ䑔
dehydrated	㄂䑕䑖ㅄ
delay	ㅹ〰
delete	㈑䑗
deleting	㈑とㅃ
delicious	㈑〠㌔
delighted	ㅹ㊓ㅄ
deliver	㈑〠㍄
delivers	ㅹ〠㘉
dell	䑘
deluxe	㈑䑙
demand	ㅹ䑠
democrat	ㄲ〩䑡
demolition	ㄲ〩〠ㆉ
demonstrate	ㄲ〷䑢
dennis	ㄲ㉃
dense	䑣
dentist	ㅈ䎕
dentist's	ㅈ䑤
denver	ㅈ㍄
deny	ㅹ䑥
department	ㅹ㍩ㆃ
depend	ㅹ䑦
depended	ㅹ䑧㢄
depending	ㅹ䑧ㅡ
depends	ㅹ䑨
deposit	ㅹ㍲䅤
depot	㄂ゑ
deprive	ㅹ䑩
deprived	ㅹ䑰
derived	ㅹ㐦
desert	ㅹ䑱
deserve	ㅹ䑲
design	ㅹ䑳
desire	ㅹ䑴
desitin	ㄲ䆁㑱
desk	䑵
despise	䑶䑷
dessert	ㅹ䑱
destroy	䑶䑸
destroying	ㅹ䑹㍆
destruction	ㄲ䒀ㄑ
destructive	䑶䒁㆓
detergent	ㅹ㆒䒂
detergents	ㅹ㆒䒃
determine	ㅹ㆒㙙
determined	ㅹ㆒䒄
detour	㄂䒅
device	ㅹ㈧
devil	ㄲ䄠
devon	ㄲ䒆
devotion	ㅹ䒇ㆉ
devour	ㅹ䒈䀀
dew	䆕
dextrous	䑆䒉
dial	䍒
dialect	䒐㄄䈅
dialing	䒐㔰
dials	䒐䀖
diamond	䒐㊔
diamonds	䒐䒑
diana	䒐゘ど
diaper	䒐㘢
diapers	䒐䅔
diapie	䒐㍷
diarrhea	䒐㄄ぷ㄄
dickory	ㅹ〈〨
dictionary	㈅䈷䒒ぷ
did	㈂
didyou	㈂
diddle	ㅹ㤁
didey	䒐㄂
dideys	䒐㌲
didi@o	㄂㄂
dididi@o	㄂㄂㄂
didn't	ㅹ䊘
die	䒐
died	䒓
dieing	䒐㍆
dies	䒔
diesha	䒐〨㈆
diet	䒐䒕
dieting	䒐㄄ㅃ
diets	䒐䒖
difference	ㅹ䒗
differences	ㅹ㊙ぁㄩ
different	ㅹ䒘
differentiate	ㅹ㊙䒙㎒㎓
differently	ㅹ䔀と
difficult	ㅹ㤷䔁
difficulty	ㅹ㤷䎀い
dig	䔂
digby	䔂㄀
digger	ㅹ㘰
digging	ㅹ㘱
digits	ㅹ㠴
digs	䔃
dillards	ㅹ䔄
dillon	ㅹ〵
dillon's	ㅹ䂅
dimples	䔅㎄
ding	ㅡ
dining	䒐㒁
dinner	ㅹ㕁
dinners	ㅹょ
dinnertime	ㅹ㕁㍥
dinosaur	䒐㌷䔆
dinosaur's	䒐ど䔇
dip	䔈
dips	䔉
dipsie	䔈㄁
dipsy	䔈㄁
direct	ㅹ䊇
directing	ㅹ㍇ㅃ
direction	ㅹ㍇ㆉ
directions	ㅹ㍇䎒
dirt	䔐
dirt's	䔑
dirty	】い
dis	䑶
disability	ㅹㄗㄇ〠い
disappear	ㅹㄗ䔒
disappeared	ㅹㄗ㍹
disappearing	ㅹㄗ㎀㉙
disappointing	ㅹㄗ䔓ㅃ
disaster	ㅹ䔔㆒
disc	䔕
discipline	ㅹ〄䔖
discontent	䑶㈳䉕
discover	䑶ㅦ㍄
discovered	ㅹ䔗䌉
discoverer	䑶ㅦ㌕㥵
discovery	䑶ㅦ㌕ぷ
discs	䔘
discuss	䑶䔙
discussed	ㅹ䔠
discussion	䑶ㅦㆉ
disguised	䑶䔡
disgust	䑶䔢
disgusted	䑶〢㤙
disgusting	䑶〢㤠
dish	䔣
dishes	ㅹ㐴
dishrag	ㅹ䔤
dishwasher	䔣䁰䔥
disinfected	ㅹ䄔䔦ㅄ
dismantle	ㅹ䔧㖑
dismay	ㅹ䔨
disney	䔩べ
disney's	䔩㍃
disobedient	ㅹㄗ㄀㄂䔰
disobey	ㅹㄗ㒗
disposal	䑶ゑ㕲
dispose	䑶䔱
disposition	䑶㝴䆁ㆉ
distinct	ㅹ䔲
distinction	ㅹ䔳ㄑ
distinguishes	ㅹ䔴䔵㐴
distracted	ㅹ䔶ㅄ
distracting	ㅹ䔶ㅃ
distraction	䑶㑩ㆉ
distracts	ㅹ䔷
disturb	䑶䔸
ditty	ㅹい
dive	䔹
dived	䕀
dives	䕁
divine	ㅹ䕂
diving	䒐ㅱ
divorce	ㅹ䕃
divorces	ㅹ䕄ㄩ
dizzy	ㅹ〥
do	䆕
do@si	㈘㄁
dock	䕅
doctor	䕅㆒
doctors	䕅ぅ
doctor's	䕅ぅ
dodge	䕆
does	䕇
doesn't	㕀䕈
dog	䕉
dog's	䕐
doggie	䐰て
doggie's	䐰㔠
doggies	䐰㔠
doggone	䐰䕑
doggy	䐰て
doggy's	䐰㔠
doghouse	䕉䕒
dogs	䕐
doing	䆕㍆
doll	㔂
doll's	䕓
dollar	〔㡱
dollars	〔ぇ
dollhouse	䕔䕒
dollie	〔と
dollie's	〔㐶
dollies	䐰㐶
dolls	㔃
dolly	䐰と
dolly's	䐰㐶
dolphin	䕔䕕
dolphins	㔂䕖
dome	䕗
domestic	㈑䕘㍖
don	䕙
don't	䕠
dont	䕠
donald	〔䕡
donald's	〔䕢
done	㊇
dong	䕣
donkey	䕤㔐
donkeys	䕣㚃
donna	〔ど
donovan	〔ど䒆
donut	㈘䕥
doo	䆕
doodle	䆕㤁
doodoo	䆕䆕
doopsie	䕦㄁
door	㈡
door's	䕧
doorbell	㈡㙂
doorbells	㔆㕐
doors	䕧
doorstop	㔆䕨
doorway	㈡㍦
doozy	䆕〥
dora	䐰㈙
doremifasolatido@si	㈘㐈ㄶ䕩㌄䈀い㈘
dorm	䕰
dos	䕱
dose	㑹
dot	ざ
doting	㈘ㅃ
dotty	〔い
double	㕀ㄉ
doubling	㕀㒔
doubt	䕲
dough	㈘
doughnut	㈘㤦
doughnuts	㈘䕳
dove	䕴
dover	㈘㍄
down	䕵
downie	䕶べ
download	䕵㙉
downloaded	䕵〹㢄
downstairs	䕵䕷
downstream	䕵䕸
downtown	䕵䕹
downy	䕶べ
doze	㑹
dozen	㕀䌇
drag	䖀
dragged	䖁
dragging	䖂㘱
dragon	䖂䖃
dragon's	䖂䖄
dragonfly	䖂䖃䖅
dragons	䖂䖄
drags	䖆
drags	䖆
drain	䖇
drainage	䑖䖈
drama	䖉〩
dramatic	䖐〴㍖
drank	䖑
drape	䖒
draw	䖓
drawer	䖔
drawers	䖕
drawing	䖓㍆
draws	䖖
dreadful	䖗㒄
dream	䖘
dreamed	䖙
dreaming	㌨㘔
dreams	䘀
dreamy	㌨ㄶ
drenched	䘁
dress	㈈
dressed	㈉
dresser	䘂㍐
dresses	䘂ㄩ
dressing	䘂㄰
drew	㌰
dried	䘃
drill	䘄
drink	䘅
drink's	䘆
drinkie	䘇㔐
drinking	䘇㑦
drinks	䘆
drip	䘈
dripping	䘉㢖
drippy	䘉㍷
drips	䘐
drive	䘑
driver	䘒㍄
drives	䘓
driveway	䘑㍦
driving	䘒ㅱ
drool	䘔
drooling	㌰㔰
drooly	㌰と
droopy	㌰㍷
drop	䘕
dropped	䘖
dropping	䖉㢖
drops	䘗
drove	䘘
drown	䘙
drug	䘠
drugs	䘡
drum	䘢
drum's	䘣
drummer	䘤㢒
drumming	䘤㘔
drummond	䘤㊔
drums	䘣
drunk	䘥
drunken	䘦㈳
dry	䘒
dryer	䘧
drying	䘒㍆
drys	䘨
dub	䘩
dublin	㕀㒉㊈
duck	䘰
ducky	㕀㔐
duckie	㕀㔐
duckie's	㕀㚃
duckies	㕀㚃
ducklings	㕀䘱
ducks	䘲
dude	䘳
due	䆕
dueling	䆕㄄㔰
dug	䘴
dukes	䘵
dum	䘶
dumb	䘶
dumbo	䘶㜳
dummy	㕀ㄶ
dump	䘷
dumped	䘸
dumping	䘶㢖
dumpling	䘶䘹
dumpty	䘷い
dumpty's	䘷〕
dunno	䕠
duplo	䆕䙀
duress	㈑䙁
during	䙂㉙
dust	䙃
dusted	㕀㤙
dusting	㕀㤠
dustpan	䙃䁸
dusty	䙄い
dvd	㄂䉥㄂
dwight	䙅
dya	䙆
dye	䒐
dyed	䒓
dyeisha	䒐〨㈆
dyeisha's	䒐〨㊃
dyes	䒔
dyiesha	䒐〨㈆
dying	䒐㍆
d'you	䙇
dyou	䙇
e	〨
e@l	〨
e@l-s	〨
each	䙈
ear	䙉
ear's	䙐
earache	〨䙑
eardrum	䙉䘢
earlier	䀀と䀀
early	䀀と
earned	䙒
earphones	䙉䙓
earring	䙉㉙
earrings	䙉䙔
ears	䙕
earth	䙖
earthquake	䙖䙗
ease	㖐
easier	〨〥䀀
easiest	〨〥䙘
easily	〨䙙と
east	䙠
easter	〨じ
easy	〨〥
eat	䙡
eaten	〨づ
eater	〨㆒
eating	〨ㅃ
eats	䙢
ecosystem	〨〆〄䙣
ecta@q	〖ゆ
ed	〗
eddie	ㅸ㄂
eden	〨㉒
edge	䙤
edges	ㅸ㠱
edible	ㅸ㈑ㄉ
education	ㅸ䙥㤴ㄑ
educational	ㅸ䙥㤴㈆㈇
edward	〗䙦
eel	䙧
eensie	䙨㄁
eeyore	〨㐆
effect	〨䙩
effort	ㅸ䈗
efg@k	〨㄃。
egg	㤃
eggfooyung	㤃䙰䙱
eggs	䙲
eh	ㅸ
eight	㎓
eighteen	、䙳
eighteenth	、䙴
eighth	䙵
eighty	、い
either	〨㌇
el	䙶
elastic	䙷㉧䀵
elbow	䙶㜳
elbows	䙶㞕
eleanor	ㅸゃ㕁
election	䙷䈆ㄑ
electrical	㄄䈆䙸㍁
electrician	ㅸ䙹䙸ㆉ
electricity	㄄䈆䙸〄い
electrocute	䙷䚀䎔
electrocuted	㄄䈆㦓ㆀㅄ
electrolytes	㄄䈆㦓䚁
electronically	䚂䈆䚃㌷ㄴ
elegant	ㅸゃ䚄
elementary	ㅸゃ〡ゆぷ
elephant	ㅸゃ䚅
elephant's	ㅸゃ䚆
elephants	ㅸゃ䚇
eleven	㄄〶䚈
eleventh	㄄〶䚉
elijah	㄄㊓㙘
elisse	㍳䚐
elizabeth	㄄〠䙙䚑
elizabeth's	䙷〠䙙䚒
ella	ㅸゃ
ellie	ㅸと
elmo	䙶䚓
elmo's	䙶䚔
else	䚕
else's	䙶ㄩ
eluded	䙷㔴㈂
elves	䚖
em	䚗
email	〨䚘
embarrassed	䚗〃䚙
emergency	䙷㢒䜀㄁
emily	ㅸㄳと
emma	ㅸ〩
emmy	ㅸㄶ
emmy	ㅸㄶ
emmy's	ㅸ㢓
emote	䙷䜁
emotional	䙷䚓䈷㈇
emperor's	䚗㝴䜂
empty	䚗䜃
enamel	ㅸ㔸㌸
encourage	䜄〈㙰
encouraged	䜄〈䜅
encouraging	䜄〈䙷㐥
end	䜆
ended	䜄㈂
