agey	e/Ji
celebration	sE/lx/bre/Sxn
celery	sE/lx/ri
cell	sEl
cells	sElz
cement	sx/mEnt
cent	sEnt
center	sEn/tR
centered	sEn/tRd
centering	sEn/tR/IG
centers	sEn/tRz
centipede	sEn/tI/pid
cents	sEnts
century	sEn/Cx/ri
cereal	sI/ri/xl
cereal's	sI/ri/xlz
cereals	sI/ri/xlz
certain	sR/txn
certainly	sR/txn/li
certificate	sR/tI/fI/kIt
chafing	Ce/fIG
chain	Cen
chains	Cenz
chair	Cer
chairs	Cerz
chalk	Cck
chalkboard	Cak/bcrd
challenge	C@/lInJ
challenging	C@/lIn/JIG
chance	C@ns
chances	C@nt/sxz
change	CenJ
changed	CenJd
changes	Cen/JIz
changing	Cen/JIG
channel	C@/nxl
channels	C@/nxlz
chap	C@p
character	k@/rxk/tR
characteristic	kE/rIk/tx/rI/stIk
characters	k@/rxk/tRz
charge	CarJ
charged	CarJd
charges	Car/Jxz
charging	Car/JIG
charlie	Car/li
charm	Carm
charming	Car/mIG
chart	Cart
chase	Ces
chased	Cest
chases	Ce/sIz
chasing	Ce/sIG
chat	C@t
cheap	Cip
check	CEk
checkbook	CEk/bUk
checkbook's	CEk/bUks
checkbooks	CEk/bUks
checked	CEkt
checking	CE/kIG
checkout	CE/kWt
checks	CEks
chee	Ci
cheek	Cik
cheekie	Ci/ki
cheekies	Ci/kiz
cheeks	Ciks
cheep	Cip
cheer	Cir
cheerful	Cir/fxl
cheerio	tSI@/rI/@U
cheerio's	CI/ri/oz
cheerios	Ci/ri/oz
cheers	Cirz
cheery	Ci/ri
cheese	Ciz
cheeseburger	Ciz/bR/gR
cheesy	Ci/zi
cheeto	Ci/to
chef	SEf
chemistry	kE/mI/stri
cherry	CE/ri
cherries	CE/riz
cherrio	CE/ri/o
chest	CEst
chester	CE/stR
chew	Cu
chewed	Cud
chewing	Cu/IG
chews	Cuz
chewy	Cu/i
chi	kY
chichi	Ci/Ci
chichi's	Ci/Ciz
chick	CIk
chick's	CIks
chickadee	CI/kx/di
chicken	CI/kIn
chickennoodle	CI/kxn/nu/dxl
chickens	CI/kInz
chickie	CI/ki
chickie's	CI/kiz
chickies	CI/kiz
chicks	CIks
chico	Ci/ko
chihuahua	CI/wa/wa
chikada	CI/k@/dx
child	CYld
children	CIl/drIn
chili	CI/li
chill	CIl
chillier	CI/li/R
chilling	CI/lIG
chillon	CI/lxn
chilly	CI/li
chime	CYm
chimes	CYmz
chimney	CIm/ni
chimp	CImp
chimpanzee	CIm/p@n/zi
chin	CIn
china	CY/nx
chinese	CY/niz
chinie	CI/ni
chinnie	CI/ni
chip	CIp
chipmunks	CIp/m^Gks
chips	CIps
chirp	CRp
chirping	CR/pIG
chitlins	CI/tx/lxnz
chocolate	Cc/kx/lIt
choice	COs
choices	CO/sIz
choke	Cok
choking	Co/kIG
cholesterol	kx/lEs/tx/rcl
chomp	Camp
choo	Cu
choo@o	Cu
chooc@o	Cuk
choochoo	Cu/Cu
choochoo@o	Cu/Cu
choose	Cuz
chop	Cap
chopped	Capt
chore	Cor
chores	Ccrz
chose	Coz
chris	krIs
christ	krYst
christian	krIst/yxn
christened	krI/sInd
christening	krI/sI/nIG
christmas	krI/smxs
christopher	krI/stx/fR
chubby	C^/bi
chuckie	C^/ki
chuck's	C^ks
chugga@o	C^/gx
chunky	C^G/ki
church	CRC
churches	CR/Cxz
chute	Sut
cigarette	sI/gx/rEt
cinderella	sIn/dx/rE/lx
cinderella's	sin/dx/rE/lxz
cindy	sIn/di
cindy's	sIn/diz
cinnamon	sI/nx/mxn
circle	sR/kxl
circled	sR/kxld
circles	sR/kxlz
circular	sR/kyx/lR
circulation	sR/kyx/le/SIn
circumstances	sR/kxm/st@n/sIz
circus	sR/kxs
citrus	sI/trIs
cities	sI/tiz
city	sI/ti
civil	sI/vxl
civilization	sI/vx/lx/ze/Sxn
civilized	sI/vI/lYzd
claire	klEr
clamp	kl@mp
clap	kl@p
clappie	kl@/pi
clapping	kl@/pIG
clara	kl@/srx
claira	kl@/srx
class	kl@s
classes	kl@/sIz
classroom	kl@/srum
clattering	kl@/tx/rIG
claus	klWs
clay	kle
clean	klin
cleaned	klind
cleaner	kli/nR
cleaner's	kli/nRz
cleanest	kli/nIst
cleaning	kli/nIG
cleans	klinz
cleanup	kli/n^p
clear	klir
clearance	kli/rIns
cleared	klird
clearer	kli/rR
clearly	klIr/li
clever	klE/vR
click	klIk
clicker	klI/kR
clicking	klI/kIG
clifford	klI/fRd
clifford's	klI/fRdz
climb	klYm
climbed	klYmd
climber	klY/mR
climbing	klY/mIG
climbs	klYmz
clings	klIG
clinic	klI/nIk
clinics	klI/nIks
clink	klIGk
clinking	klIG/kIG
clinton	klIn/txn
clintonville	klIn/txn/vIl
clip	klIp
clipped	klIpt
clippers	klI/pRz
clipping	klI/pIG
clips	klIps
cloaks	kloks
clobber	klc/bR
clock	klak
cloey	klo/i
clop	klap
close	klos
closed	klozd
closely	klo/sli
closer	klo/sR
closes	klo/zIz
closet	klc/zIt
closing	klo/zIG
cloth	klcT
clothes	kloDz
clothespin	kloz/pIn
clothespins	kloz/pInz
clothing	klo/DIG
cloud	klWd
clouding	klW/dIG
clouds	klWdz
cloudy	klW/di
clover	klo/vR
clown	klWn
clowns	klWnz
club	kl^b
cluck	kl^k
clue	klu
clues	kluz
clumps	kl^mps
clumpy	kl^m/pi
clumsily	kl^m/zI/li
clunk	kl^Gk
clunky	kl^G/ki
clutter	kl^/tR
cluttering	kl^/tR/IG
coach	koC
coaster	kos/tR
coasters	ko/stRz
coat	kot
coats	kots
cob	kab
cobweb	ka/bwEb
cobwebs	kab/wEbz
coca	ko/kx
cocaine	ko/ken
cocaine's	ko/kenz
cock	kak
cockadoodledoo	ka/kx/du/dxl/du
cockle	ka/kxl
coco	ko/ko
cocoa	ko/ko
cocoon	kx/kun
code	kod
coffee	kc/fi
coins	kOnz
coke	kok
cola	ko/lx
colada	ko/la/dx
cold	kold
cold's	koldz
colder	kol/dR
coleman	kol/mxn
colin	ka/lIn
collapse	kx/l@ps
collar	ka/lR
collect	kx/lEkt
collection	kx/lEk/SIn
college	ka/lIJ
collin	ka/lxn
color	k^/lR
colour	k^/lR
colours	k^/lRz
color's	k^/lRz
colored	k^/lRd
colorful	k^/lR/fxl
coloring	k^/lx/rIG
colors	k^/lRz
colts	kolts
columbus	ka/l^m/bxs
column	ka/lxm
columns	ka/l^mz
comb	kom
combed	komd
combie	kom/bi
combination	kam/bI/ne/SIn
combine	kam/bYn
combing	ko/mIG
combs	komz
c'mon	k^/man
come	k^m
comedy	ka/mI/di
comes	k^mz
comfort	k^m/fRt
comfortable	k^m/fR/tx/bxl
comfortably	k^m/fR/tx/bli
comforter	k^m/fR/tR
comforting	k^m/fR/tIG
comfy	k^m/fi
coming	k^/mIG
commanded	kx/m@n/dId
commander	kx/m@n/dR
comment	ka/mEnt
commercial	kx/mR/Sxl
commercials	kx/mR/Sxlz
common	ka/mxn
communicate	kx/myu/nI/ket
communication	kx/myu/nI/ke/SIn
communications	kx/myu/nI/ke/Sxnz
community	kx/myu/nI/ti
company	k^m/px/ni
compared	kxm/pErd
complain	kxm/plen
complained	kxm/plend
complaining	kxm/ple/nIG
complains	kxm/plenz
complete	kxm/plit
completed	kxm/pli/tId
completely	kxm/plit/li
complicated	kam/plI/ke/tId
complication	kam/plI/ke/SIn
computer	kxm/pyu/tR
computers	kxmp/yu/tRz
concentrate	kan/sIn/tret
concentrating	kan/sIn/tre/tIG
concentric	kxn/sEn/trIk
concept	kan/sEpt
concerned	kxn/sRnd
concerns	kxn/sRnz
concert	kan/sRt
concerts	kan/sRts
condensation	kan/dIn/se/SIn
conditioner	kxn/dI/SI/nR
conditioning	kxn/dI/SI/nIG
condo	kan/do
condos	kan/doz
cone	kon
confident	kan/fI/dInt
confuse	kxn/fyuz
confused	kxn/fyuzd
confusing	kxn/fyu/zIG
congestion	kxn/JEs/CIn
congratulate	kxn/gr@/Cx/let
connect	kx/nEkt
connecting	kx/nEk/tIG
connection	kx/nEk/Sxn
connections	kx/nEk/Sxnz
connie	ka/ni
connotes	kx/nots
conscious	kan/Sxs
conservative	kxn/sR/vx/tIv
consider	kxn/sI/dR
considerate	kxn/sI/dx/rIt
considered	kxn/sI/dRd
considering	kxn/sI/dx/rIG
considers	kxn/sI/dRz
consistent	kxn/sI/stxnt
consistently	kxn/sI/stxnt/li
conspiracy	kxn/spI/rI/si
constant	kan/stInt
constantly	kan/stInt/li
constellation	kan/stx/le/Sxn
construct	kxn/str^kt
contact	kan/t@kt
contain	kxn/ten
containable	kxn/te/nx/bxl
contained	kxn/tend
container	kxn/te/nR
containers	kxn/te/nRz
containing	kxn/te/nIG
contains	kxn/tenz
content	kxn/tEnt
contents	kxn/tEnts
context	kan/tEkst
continually	kxn/tIn/yu/x/li
continue	kxn/tI/nyu
continued	kxn/tIn/yud
contrary	kxn/trE/ri
control	kxn/trol
controlled	kxn/trold
controller	kxn/tro/lR
controls	kxn/trolz
convenience	kxn/vi/nyIns
conversation	kan/vR/se/SIn
conversations	kan/vR/se/Sxnz
cook	kUk
cooked	kUkt
cookie	kU/ki
cookies	kU/kiz
cooking	kU/kIG
cooks	kUks
cool	kul
cooled	kuld
cooler	ku/lR
cooling	ku/lIG
coop	kup
cooperate	ko/a/px/ret
cooperating	ko/a/px/re/tIG
cooperative	ko/a/px/rI/tIv
coordinate	ko/cr/dI/net
coordination	ko/cr/dI/ne/SIn
copy	ka/pi
copied	ka/pid
coppertone	ka/pR/ton
cops	kaps
copyright	ka/pi/rYt
coral	kc/rxl
cord	kcrd
cords	kcrdz
corduroy	kcr/dx/rO
corduroy's	kcr/dx/rOz
corey	ka/ri
cork	kcrk
corked	kcrkt
corn	kcrn
corner	kcr/nR
cornfield	kcrn/fild
cornish	kcr/nIS
corny	kcr/ni
corral	kx/r@l
correct	kx/rEkt
correctly	kx/rEkt/li
correspondence	kc/rx/span/dxns
cosby	kcz/bi
cost	kcst
costs	kcsts
costume	ka/stum
cotton	ka/txn
cottontail	ka/txn/tel
couch	kWC
couches	kW/CIz
cough	kcf
coughing	kc/fIG
could	kUd
couldn't	kU/dxnt
counseling	kWn/sx/lIG
counselor	kWn/sx/lR
count	kWnt
counted	kWn/tId
counter	kWn/tR
countertop	kWn/tR/tap
counting	kWn/tIG
countries	k^n/triz
country	k^n/tri
counts	kWnts
county	kWn/ti
couple	k^/pxl
coupon	ku/pan
coupons	ku/panz
course	kors
courses	kcr/sIz
court	kart
courting	kor/tIG
cousin	k^/zIn
cousins	k^/zInz
cover	k^/vR
covered	k^/vRd
covering	k^/vx/rIG
covers	k^/vRz
cow	kW
cow's	kWz
cowabunga	k/Wx/b^n/gx
cowboy	kW/bO
cowpokie	kW/po/ki
cows	kWz
cozy	ko/zi
crab	kr@b
crabbie	kr@/bi
crabbing	kr@/bIG
crabby	kr@/bi
crack	kr@k
cracked	kr@kt
cracker	kr@/kR
crackers	kr@/kRz
crackery	kr@/kR/i
cracky	kr@/ki
cradle	kre/dxl
cradles	kre/dxlz
cramped	kr@mpt
cranberries	kr@n/bE/riz
cranberry	kr@n/bE/ri
crane	kren
cranium	kre/ni/xm
crank	kr@Gk
crankiness	kr@G/ki/nEs
cranky	kr@G/ki
crap	kr@p
crash	kr@S
crashed	kr@St
crashes	kr@/Sxz
crashing	kr@/SIG
crawl	krcl
crawled	krcld
crawler	krc/lR
crawling	krc/lIG
crawls	krclz
crayon	kre/an
crayons	kre/anz
crazed	krezd
crazy	kre/zi
cream	krim
creamy	kri/mi
creates	kri/ets
creative	kri/e/tIv
creatively	kri/e/tIv/li
creature	kri/CR
creatures	kri/CRz
credit	krE/dIt
credited	krE/dI/txd
crediting	krE/dI/tIG
credits	krE/dIts
creek	krik
creep	krip
creepy	kri/pi
crew	kru
crib	krIb
cribbie	krI/bi
crickets	krI/kIts
cried	krYd
crime	krYm
crinkles	krIG/kxlz
crinkling	krIG/klIG
crinkly	krIG/kli
crispier	krI/spi/R
crispiest	krI/spi/Est
crispy	krI/spi
crisscross	krI/skrcs
critter	krI/tR
croakity	kro/kx/ti
crock	krak
crocodile	kra/kx/dYl
crocodiles	kra/kx/dYlz
crocodiles'	kra/kx/dYlz
crocuses	kro/kx/sIz
crooked	krU/kxd
crooks	krUks
cross	krcs
crossed	krcst
crossing	krc/sIG
crosss	kras
crow	kro
crowd	krWd
crowded	krW/dId
crowed	krod
crown	krWn
crud	kr^d
cruise	kruz
crumb	kr^m
crumble	kr^m/bxl
crumbs	kr^mz
crunch	kr^nC
crunchies	kr^n/Ciz
crunchy	kr^n/Ci
crush	kr^S
crust	kr^st
crusted	kr^s/tId
crusty	kr^s/ti
cry	krY
crybaby	krY/be/bi
crying	krY/IG
crystals	krI/stxlz
cub	k^b
cubby	k^/bI
cube	kyub
cubes	kyubz
cucumber	kyu/k^m/bR
cucumbers	kyu/k^m/bRz
cuddly	k^d/li
cuetip	kyu/tIp
culture	k^l/CR
cup	k^p
cupboard	k^/bRd
cupboard's	k^/bRdz
cupcake	k^p/kek
cupcake's	k^p/keks
cupcakes	k^p/keks
cupfuls	k^p/fUlz
cups	k^ps
cups	k^ps
curb	kRb
curds	kRdz
curious	kyU/ri/xs
curl	kRl
curled	kRld
curly	kR/li
current	kR/rInt
curse	kRs
curtain	kR/txn
curtains	kR/txnz
curvy	kR/vi
cus	k^z
cushion	kU/SIn
cushioned	kU/SInd
cushions	kU/SInz
cut	k^t
cute	kyut
cutest	kyu/tIst
cutesy	kut/si
cutey	kyu/ti
cutie	kyu/ti
cutiepie	kyu/ti/pY
cutting	k^/tIG
cuz	k^z
cymbals	sIm/bxlz
czech	CEk
czechoslovakia's	CE/kx/slx/va/ki/xz
d	di
d@l	di
da	da
dab	d@b
dab@c	d@b
dabby@c	d@b
dad	d@d
dad'll	d@/dxl
dad's	d@dz
dada	d@/d@
dada's	d@/d@z
dadada	d@/d@/d@
dadaji	ba/ba/Ji
dadada's	d@/d@/d@z
dadada@o	d@/d@/d@
dadadada@o	d@/d@/d@/d@
daddy	d@/di
daddy'd	d@/did
daddy's	d@/diz
daffodil	d@/fx/dIl
daffodils	d@/fx/dIlz
daffy	d@/fi
daily	de/li
dainty	den/ti
dairy	de/ri
daisies	de/ziz
daisy	de/zi
dakota	dx/ko/tx
dakota's	dx/ko/txz
dale	del
dalmatian	d@l/me/SIn
dalmatians	d@l/me/SInz
damage	d@/mIJ
damaged	d@/mxJd
damages	d@/mx/Jxz
damaging	d@/mx/JIG
dame	dem
damn	d@m
damp	d@mp
dan	d@n
dana	de/nx
dan's	d@nz
dance	d@ns
dances	d@n/sIz
dancing	d@n/sIG
dandelion	d@n/dx/lY/In
dandy	d@n/di
dang	d@G
dangerous	den/Jx/rxs
daniel	d@n/yxl
dapper	d@/pR
dare	der
daring	de/rIG
darian	dErr/yxn
dark	dark
darling	dar/lIG
darn	darn
dat	d@t
data	de/tx
date	det
dating	de/tIG
daughter	dc/tR
daughter's	dc/tRz
daughters	dc/tRz
david	de/vId
davis	de/vIs
dawn	dcn
dawn's	dcnz
day	de
day's	dez
daycare	de/kEr
daydreaming	de/dri/mIG
days	dez
daytime	de/tYm
daze	dez
dazey	de/zi
dead	dEd
deal	dil
dealing	di/lIG
dear	dir
death	dET
deborah	dE/bx/rx
debra	dE/brx
december	dI/sEm/bR
decent	di/sInt
decibels	dE/sx/bxlz
decide	dI/sYd
decided	dI/sY/dId
decision	dI/sIZ/xn
decisions	dI/sIZ/Inz
deck	dEk
declare	dI/kler
declared	dI/klErd
declares	dI/klErz
declaring	dI/klE/rIG
decoration	dE/kx/re/SIn
decorations	dE/kx/re/SInz
deep	dip
deepest	di/pIst
deer	dir
defender	dI/fEn/dR
definitely	dE/fI/nIt/li
definition	dE/fI/nI/SIn
defrost	dI/frcst
degree	dx/gri
degrees	dI/griz
dehydrated	di/hY/dre/tId
delay	dI/le
delete	dx/lit
deleting	dx/li/tIG
delicious	dx/lI/SIs
delighted	dI/lY/tId
deliver	dx/lI/vR
delivers	dI/lI/vRz
dell	dEl
deluxe	dx/l^ks
demand	dI/m@nd
democrat	dE/mx/krat
demolition	dE/mx/lI/SIn
demonstrate	dE/mxn/stret
dennis	dE/nIs
dense	dEns
dentist	dEn/tIst
dentist's	dEn/tIsts
denver	dEn/vR
deny	dI/nY
department	dI/part/mxnt
depend	dI/pEnd
depended	dI/pEn/dxd
depending	dI/pEn/dIG
depends	dI/pEndz
deposit	dI/pa/zIt
depot	di/po
deprive	dI/prYv
deprived	dI/prYvd
derived	dI/rYvd
desert	dI/zRt
deserve	dI/zRv
design	dI/zYn
desire	dI/zYr
desitin	dE/zI/tIn
desk	dEsk
despise	dIs/pYz
dessert	dI/zRt
destroy	dIs/trO
destroying	dI/strO/IG
destruction	dE/str^k/Sxn
destructive	dIs/tr^k/tIv
detergent	dI/tR/JInt
detergents	dI/tR/JEnts
determine	dI/tR/mIn
determined	dI/tR/mInd
detour	di/tur
device	dI/vYs
devil	dE/vxl
devon	dE/vxn
devotion	dI/vo/SIn
devour	dI/vW/R
dew	du
dextrous	dEk/strxs
dial	dYl
dialect	dY/x/lEkt
dialing	dY/lIG
dials	dY/xlz
diamond	dY/mxnd
diamonds	dY/mxndz
diana	dY/@/nx
diaper	dY/pR
diapers	dY/pRz
diapie	dY/pi
diarrhea	dY/x/ri/x
dickory	dI/kR/i
dictionary	dIk/SI/nE/ri
did	dId
didyou	dId
diddle	dI/dxl
didey	dY/di
dideys	dY/diz
didi@o	di/di
dididi@o	di/di/di
didn't	dI/dxnt
die	dY
died	dYd
dieing	dY/IG
dies	dYz
diesha	dY/i/Sx
diet	dY/It
dieting	dY/x/tIG
diets	dY/xts
difference	dI/frIns
differences	dI/fx/rIn/sIz
different	dI/frInt
differentiate	dI/fx/rEn/Si/et
differently	dI/frxnt/li
difficult	dI/fI/kxlt
difficulty	dI/fI/k^l/ti
dig	dIg
digby	dIg/bi
digger	dI/gR
digging	dI/gIG
digits	dI/JIt
digs	dIgz
dillards	dI/lRdz
dillon	dI/lxn
dillon's	dI/lxnz
dimples	dIm/pxlz
ding	dIG
dining	dY/nIG
dinner	dI/nR
dinners	dI/nRz
dinnertime	dI/nR/tYm
dinosaur	dY/nI/scr
dinosaur's	dY/nx/scrz
dip	dIp
dips	dIps
dipsie	dIp/si
dipsy	dIp/si
direct	dI/rEkt
directing	dI/rEk/tIG
direction	dI/rEk/SIn
directions	dI/rEk/SInz
dirt	dRt
dirt's	dRts
dirty	dR/ti
dis	dIs
disability	dI/sx/bI/lI/ti
disappear	dI/sx/pir
disappeared	dI/sx/pird
disappearing	dI/sx/pI/rIG
disappointing	dI/sx/pOn/tIG
disaster	dI/z@s/tR
disc	dIsk
discipline	dI/sI/plIn
discontent	dIs/kxn/tEnt
discover	dIs/k^/vR
discovered	dI/sk^/vRd
discoverer	dIs/k^/vx/rR
discovery	dIs/k^/vx/ri
discs	dIsks
discuss	dIs/k^s
discussed	dI/sk^st
discussion	dIs/k^/SIn
disguised	dIs/gYzd
disgust	dIs/g^st
disgusted	dIs/g^/stId
disgusting	dIs/g^/stIG
dish	dIS
dishes	dI/SIz
dishrag	dI/Sr@g
dishwasher	dIS/wa/SR
disinfected	dI/sIn/fEk/tId
dismantle	dI/sm@n/txl
dismay	dI/sme
disney	dIz/ni
disney's	dIz/niz
disobedient	dI/sx/bi/di/Int
disobey	dI/sx/be
disposal	dIs/po/zxl
dispose	dIs/poz
disposition	dIs/px/zI/SIn
distinct	dI/stIGkt
distinction	dI/stIGk/Sxn
distinguishes	dI/stIGg/wI/SIz
distracted	dI/str@k/tId
distracting	dI/str@k/tIG
distraction	dIs/tr@k/SIn
distracts	dI/str@kts
disturb	dIs/tRb
ditty	dI/ti
dive	dYv
dived	dYvd
dives	dYvz
divine	dI/vYn
diving	dY/vIG
divorce	dI/vcrs
divorces	dI/vcr/sIz
dizzy	dI/zi
do	du
do@si	do/si
dock	dak
doctor	dak/tR
doctors	dak/tRz
doctor's	dak/tRz
dodge	daJ
does	d^z
doesn't	d^/zxnt
dog	dcg
dog's	dcgz
doggie	dc/gi
doggie's	dc/giz
doggies	dc/giz
doggone	dc/gcn
doggy	dc/gi
doggy's	dc/giz
doghouse	dcg/hWs
dogs	dcgz
doing	du/IG
doll	dcl
doll's	dalz
dollar	da/lR
dollars	da/lRz
dollhouse	dal/hWs
dollie	da/li
dollie's	da/liz
dollies	dc/liz
dolls	dclz
dolly	dc/li
dolly's	dc/liz
dolphin	dal/fIn
dolphins	dcl/fInz
dome	dom
domestic	dx/mEs/tIk
don	dan
don't	dont
dont	dont
donald	da/nxld
donald's	da/nxldz
done	d^n
dong	daG
donkey	dcG/ki
donkeys	daG/kiz
donna	da/nx
donovan	da/nx/vxn
donut	do/nxt
doo	du
doodle	du/dxl
doodoo	du/du
doopsie	dup/si
door	dor
door's	dorz
doorbell	dor/bEl
doorbells	dcr/bElz
doors	dorz
doorstop	dcr/stap
doorway	dor/we
doozy	du/zi
dora	dc/rx
doremifasolatido@si	do/re/mi/fa/so/la/ti/do
dorm	dorm
dos	dcs
dose	doz
dot	dat
doting	do/tIG
dotty	da/ti
double	d^/bxl
doubling	d^/blIG
doubt	dWt
dough	do
doughnut	do/n^t
doughnuts	do/n^ts
dove	d^v
dover	do/vR
down	dWn
downie	dW/ni
download	dWn/lod
downloaded	dWn/lo/dxd
downstairs	dWn/sterz
downstream	dWn/strim
downtown	dWn/tWn
downy	dW/ni
doze	doz
dozen	d^/zIn
drag	dr@g
dragged	dr@gd
dragging	dr@/gIG
dragon	dr@/gxn
dragon's	dr@/gxnz
dragonfly	dr@/gxn/flY
dragons	dr@/gxnz
drags	dr@gz
drags	dr@gz
drain	dren
drainage	dre/nIJ
drama	dra/mx
dramatic	drx/m@/tIk
drank	dr@Gk
drape	drep
draw	drc
drawer	drcr
drawers	drcrz
drawing	drc/IG
draws	drcz
dreadful	drEd/fxl
dream	drim
dreamed	drimd
dreaming	dri/mIG
dreams	drimz
dreamy	dri/mi
drenched	drEnCt
dress	drEs
dressed	drEst
dresser	drE/sR
dresses	drE/sIz
dressing	drE/sIG
drew	dru
dried	drYd
drill	drIl
drink	drIGk
drink's	drIGks
drinkie	drIG/ki
drinking	drIG/kIG
drinks	drIGks
drip	drIp
dripping	drI/pIG
drippy	drI/pi
drips	drIps
drive	drYv
driver	drY/vR
drives	drYvz
driveway	drYv/we
driving	drY/vIG
drool	drul
drooling	dru/lIG
drooly	dru/li
droopy	dru/pi
drop	drap
dropped	drapt
dropping	dra/pIG
drops	draps
drove	drov
drown	drWn
drug	dr^g
drugs	dr^gz
drum	dr^m
drum's	dr^mz
drummer	dr^/mR
drumming	dr^/mIG
drummond	dr^/mxnd
drums	dr^mz
drunk	dr^Gk
drunken	dr^G/kxn
dry	drY
dryer	drYr
drying	drY/IG
drys	drYz
dub	d^b
dublin	d^/bx/lIn
duck	d^k
ducky	d^/ki
duckie	d^/ki
duckie's	d^/kiz
duckies	d^/kiz
ducklings	d^/klIGz
ducks	d^ks
dude	dud
due	du
dueling	du/x/lIG
dug	d^g
dukes	duks
dum	d^m
dumb	d^m
dumbo	d^m/bo
dummy	d^/mi
dump	d^mp
dumped	d^mpt
dumping	d^m/pIG
dumpling	d^m/plIG
dumpty	d^mp/ti
dumpty's	d^mp/tiz
dunno	dont
duplo	du/plo
duress	dx/rEs
during	dU/rIG
dust	d^st
dusted	d^/stId
dusting	d^/stIG
dustpan	d^st/p@n
dusty	d^s/ti
dvd	di/vi/di
dwight	wYt
dya	dyx
dye	dY
dyed	dYd
dyeisha	dY/i/Sx
dyeisha's	dY/i/Sxz
dyes	dYz
dyiesha	dY/i/Sx
dying	dY/IG
d'you	Ju
dyou	Ju
e	i
e@l	i
e@l-s	i
each	iC
ear	ir
ear's	Irz
earache	i/rek
eardrum	ir/dr^m
earlier	R/li/R
early	R/li
earned	Rnd
earphones	ir/fonz
earring	ir/rIG
earrings	ir/rIGz
ears	irz
earth	RT
earthquake	RT/kwek
ease	iz
easier	i/zi/R
easiest	i/zi/Ist
easily	i/zx/li
east	ist
easter	i/stR
easy	i/zi
eat	it
eaten	i/txn
eater	i/tR
eating	i/tIG
eats	its
ecosystem	i/ko/sI/stxm
ecta@q	Ek/tx
ed	Ed
eddie	E/di
eden	i/dxn
edge	EJ
edges	E/JIz
edible	E/dx/bxl
education	E/JU/ke/Sxn
educational	E/JU/ke/Sx/nxl
edward	Ed/wRd
eel	il
eensie	in/si
eeyore	i/ar
effect	i/fEkt
effort	E/fRt
efg@k	i/Ef/Ji
egg	Eg
eggfooyung	Eg/fu/y^G
eggs	Egz
eh	E
eight	et
eighteen	e/tin
eighteenth	e/tinT
eighth	etT
eighty	e/ti
either	i/DR
el	El
elastic	I/l@/stIk
elbow	El/bo
elbows	El/boz
eleanor	E/lx/nR
election	I/lEk/Sxn
electrical	x/lEk/trI/kxl
electrician	E/lxk/trI/SIn
electricity	x/lEk/trI/sI/ti
electrocute	I/lEktrp/kyut
electrocuted	x/lEk/trx/kyu/tId
electrolytes	x/lEk/trx/lYts
electronically	^/lEk/tra/nI/kli
elegant	E/lx/gxnt
elementary	E/lx/mEn/tx/ri
elephant	E/lx/fInt
elephant's	E/lx/fInts
elephants	E/lx/fxnts
eleven	x/lE/vIn
eleventh	x/lE/vInT
elijah	x/lY/Jx
elisse	pe/lis
elizabeth	x/lI/zx/bxT
elizabeth's	I/lI/zx/bETs
ella	E/lx
ellie	E/li
elmo	El/mo
elmo's	El/moz
else	Els
else's	El/sIz
eluded	I/lu/dId
elves	Elvz
em	Em
email	i/mel
embarrassed	Em/b@/rIst
emergency	I/mR/JIn/si
emily	E/mI/li
emma	E/mx
emmy	E/mi
emmy	E/mi
emmy's	E/miz
emote	I/mot
emotional	I/mo/SI/nxl
emperor's	Em/px/rRz
empty	Em/pti
enamel	E/n@/mxl
encourage	En/kR/rIJ
encouraged	En/kR/IJd
encouraging	En/kR/I/JIG
end	End
ended	En/dId
endlessly	End/lI/sli
ends	Endz
enemy	E/nI/mi
energy	E/nR/Ji
engine	En/JIn
engineering	En/Jxn/yx/rIG
england	IG/glxnd
english	IG/glIS
enjoy	En/JO
enjoyed	En/JOd
enjoying	En/JO/IG
enjoys	En/JOz
enormous	I/ncr/mxs
enough	I/n^f
enter	En/tR
entered	En/tRd
entering	En/tR/IG
enters	En/tRz
entertained	E/nR/tend
entertaining	E/nR/te/nIG
entertainment	E/nR/ten/mInt
enthusiastic	En/Tu/zi/@/stIk
entice	En/tYs
entire	En/tY/R
entirely	En/tYr/li
entrance	En/trIns
entrapment	En/tr@p/mInt
entry	En/tri
envelope	En/vx/lop
envelopes	En/vx/lops
environment	En/vY/rxn/mxnt
equipment	I/kwIp/mInt
er	R
eric	E/rIk
erin	E/rIn
ernie	R/ni
ernie's	R/niz
escape	Es/kep
escaped	E/skept
especially	E/spE/Sx/li
estate	Es/tet
eternal	i/tR/nxl
ethan	i/Txn
etti	E/ti
europe	yU/rxp
european	yU/rx/pi/In
evaporate	E/v@/px/ret
evaporated	I/v@/pR/e/txd
eva	E/vx
evan	i/vxn
eve	iv
even	i/vxn
evening	iv/nIG
event	I/vEnt
eventually	E/vEn/Cu/x/li
ever	E/vR
every	E/vri
everybody	E/vri/ba/di
everybody's	Ev/ri/ba/diz
everyday	E/vri/de
everyone	E/vri/w^n
everyone's	E/vri/w^nz
everyplace	E/vri/ples
everything	E/vri/TIG
everything's	Ev/ri/TIGz
everywhere	E/vri/wer
evil	i/vxl
ew	u
ewe	yu
ewan	yu/xn
ewie	yu/i
exact	Eg/z@kt
exactly	Eg/z@kt/li
exalted	Eg/zcl/tId
example	Ig/z@m/pxl
examples	Ig/z@m/pxlz
